id,user_id,name,class,section,roll,attendance
38ddb6e3-2204-4d66-b0e4-f696fc8ce5a8,38ddb6e3-2204-4d66-b0e4-f696fc8ce5a8,Aarav Sharma,6,A,1,0
bd8fe065-aa80-469d-85b0-133ae4346ab8,bd8fe065-aa80-469d-85b0-133ae4346ab8,Aditya Sharma,6,A,2,0
3a834437-f924-41c8-82e2-e82c86710422,3a834437-f924-41c8-82e2-e82c86710422,Aisha Sharma,6,A,3,0
1d1a2802-936d-4b7f-b4d1-280e674f1fb5,1d1a2802-936d-4b7f-b4d1-280e674f1fb5,Ananya Sharma,6,A,4,0
7c9f59a1-e0c1-4d02-bc7d-c9b0f0ff92d1,7c9f59a1-e0c1-4d02-bc7d-c9b0f0ff92d1,Arjun Sharma,6,A,5,0
5510f4e8-fe32-4c75-99e2-3b9677172dc7,5510f4e8-fe32-4c75-99e2-3b9677172dc7,Diya Sharma,6,A,6,0
cb579b56-221f-4d85-901d-bf99a14a18cd,cb579b56-221f-4d85-901d-bf99a14a18cd,Ishaan Sharma,6,A,7,0
c7dce40b-afa4-49ea-9454-6eee6b7bc6fa,c7dce40b-afa4-49ea-9454-6eee6b7bc6fa,Kavya Sharma,6,A,8,0
3458c09b-b64b-4371-a8d2-e8caa0b110b4,3458c09b-b64b-4371-a8d2-e8caa0b110b4,Mihir Sharma,6,A,9,0
14a58837-08bd-42e2-b75f-09ff5f8d3daa,14a58837-08bd-42e2-b75f-09ff5f8d3daa,Nandini Sharma,6,A,10,0
0838a06c-cb78-4dd3-8b3a-1468324e84e6,0838a06c-cb78-4dd3-8b3a-1468324e84e6,Rohan Sharma,6,A,11,0
66c98a3f-aeb7-49e4-807a-de106cdc57c6,66c98a3f-aeb7-49e4-807a-de106cdc57c6,Saanvi Sharma,6,A,12,0
2f5c7de6-b783-4cff-afd2-0e1514e0bff2,2f5c7de6-b783-4cff-afd2-0e1514e0bff2,Vivaan Sharma,6,A,13,0
f5542b42-385a-40ad-939a-e2ef3f248f5f,f5542b42-385a-40ad-939a-e2ef3f248f5f,Anika Sharma,6,A,14,0
bf6da603-bf1e-4f1f-8440-9dc924362548,bf6da603-bf1e-4f1f-8440-9dc924362548,Rahul Sharma,6,A,15,0
abcc5906-5676-400c-8051-3b161a0e6951,abcc5906-5676-400c-8051-3b161a0e6951,Soham Sharma,6,A,16,0
d080e1df-57f7-44df-9024-6cd3974ca542,d080e1df-57f7-44df-9024-6cd3974ca542,Priya Sharma,6,A,17,0
bb528300-733f-4514-a4ff-94a9555e9ee6,bb528300-733f-4514-a4ff-94a9555e9ee6,Ritwik Sharma,6,A,18,0
9124a497-235b-42f4-b316-1b97578a9603,9124a497-235b-42f4-b316-1b97578a9603,Sneha Sharma,6,A,19,0
6eb455d7-b692-4fe1-8ef3-e9c30e918ed2,6eb455d7-b692-4fe1-8ef3-e9c30e918ed2,Abhinav Sharma,6,A,20,0
99d66617-f778-4e67-8937-22ea3fb99702,99d66617-f778-4e67-8937-22ea3fb99702,Meera Sharma,6,A,21,0
81a4659d-6653-473a-b3a3-c75b681c9398,81a4659d-6653-473a-b3a3-c75b681c9398,Kabir Sharma,6,A,22,0
4ce23edb-1d7a-445d-a600-06fbbccdd7ac,4ce23edb-1d7a-445d-a600-06fbbccdd7ac,Tanya Sharma,6,A,23,0
c5cf5ef7-4291-4b15-a230-98ce920aa80e,c5cf5ef7-4291-4b15-a230-98ce920aa80e,Yash Sharma,6,A,24,0
e5c44bee-32a1-4a69-8604-5b9447187d1d,e5c44bee-32a1-4a69-8604-5b9447187d1d,Riya Sharma,6,A,25,0
5a6d6b28-ab03-4962-8a47-4b5a565668c4,5a6d6b28-ab03-4962-8a47-4b5a565668c4,Anirban Sharma,6,B,1,0
325d5e84-db1e-4e1d-9605-17e01b8e7c13,325d5e84-db1e-4e1d-9605-17e01b8e7c13,Ira Sharma,6,B,2,0
549ad8f6-53bc-4028-b7ad-dc9ca01a9557,549ad8f6-53bc-4028-b7ad-dc9ca01a9557,Dev Sharma,6,B,3,0
14ea32c6-7ba1-491c-8b0e-538bd82d1095,14ea32c6-7ba1-491c-8b0e-538bd82d1095,Pihu Sharma,6,B,4,0
1ec4220c-bbf5-4dce-96b1-bc41461779af,1ec4220c-bbf5-4dce-96b1-bc41461779af,Aryan Sharma,6,B,5,0
7e363607-7f00-4b7b-a77d-908c0d453370,7e363607-7f00-4b7b-a77d-908c0d453370,Rudra Sharma,6,B,6,0
463dac66-b863-45ff-a0c2-43db91a4f95f,463dac66-b863-45ff-a0c2-43db91a4f95f,Maya Sharma,6,B,7,0
5b8fa384-6c56-4119-9a7a-ac91e010ad0d,5b8fa384-6c56-4119-9a7a-ac91e010ad0d,Kunal Sharma,6,B,8,0
e2fde5fb-b9ef-4ee9-bb2f-093fd0b5196f,e2fde5fb-b9ef-4ee9-bb2f-093fd0b5196f,Rhea Sharma,6,B,9,0
8d646b9d-7cb8-46d7-835f-491cc5a1754f,8d646b9d-7cb8-46d7-835f-491cc5a1754f,Ayan Sharma,6,B,10,0
d7aa299f-4096-4ca7-b5d4-cd3d0f3320c9,d7aa299f-4096-4ca7-b5d4-cd3d0f3320c9,Tisha Sharma,6,B,11,0
89c3ea15-5f40-42c0-969a-86cb59be69ec,89c3ea15-5f40-42c0-969a-86cb59be69ec,Samir Sharma,6,B,12,0
cede6f97-b843-4dd7-9337-070793eccce9,cede6f97-b843-4dd7-9337-070793eccce9,Nisha Sharma,6,B,13,0
ab87a101-762c-4e0a-8a3b-d01565e29bd0,ab87a101-762c-4e0a-8a3b-d01565e29bd0,Om Sharma,6,B,14,0
e8f2b331-9206-4d96-9497-32cdc1c53659,e8f2b331-9206-4d96-9497-32cdc1c53659,Ishita Sharma,6,B,15,0
c5b991d6-67b8-41cd-8ba2-27118cc3a461,c5b991d6-67b8-41cd-8ba2-27118cc3a461,Avi Sharma,6,B,16,0
c00bba7b-30e1-4431-aa9e-9e56d998d4eb,c00bba7b-30e1-4431-aa9e-9e56d998d4eb,Tanvi Sharma,6,B,17,0
216272e9-1974-4518-a504-26ffc0e8b16b,216272e9-1974-4518-a504-26ffc0e8b16b,Neel Sharma,6,B,18,0
37d03fd9-5b4d-42c0-9de4-ad63db49f287,37d03fd9-5b4d-42c0-9de4-ad63db49f287,Shreya Sharma,6,B,19,0
7ba1ebb1-247b-42f2-8d6b-ae4fd91fe625,7ba1ebb1-247b-42f2-8d6b-ae4fd91fe625,Manav Sharma,6,B,20,0
def982d0-1915-4906-8e25-ff22ebe68c4f,def982d0-1915-4906-8e25-ff22ebe68c4f,Srijan Sharma,6,B,21,0
c73c0006-b11f-444d-9a0a-1299abe2a0cb,c73c0006-b11f-444d-9a0a-1299abe2a0cb,Roshni Sharma,6,B,22,0
60672c9f-edb9-4f87-b9e9-0d4c0df02dff,60672c9f-edb9-4f87-b9e9-0d4c0df02dff,Veer Sharma,6,B,23,0
b77fb9ca-bd3d-4f99-94b8-ab3d79220dde,b77fb9ca-bd3d-4f99-94b8-ab3d79220dde,Kritika Sharma,6,B,24,0
298247d5-03d7-46d2-8a92-dd665a5372e6,298247d5-03d7-46d2-8a92-dd665a5372e6,Anmol Sharma,6,B,25,0
7fc037c8-b981-48b8-a0de-b95ec2a18518,7fc037c8-b981-48b8-a0de-b95ec2a18518,Aarav Roy,7,A,1,0
64ae3453-3b45-4f1a-9e85-44834e2cfc43,64ae3453-3b45-4f1a-9e85-44834e2cfc43,Aditya Roy,7,A,2,0
5cbab4cc-c2f5-46df-8f86-c6bf35945d4b,5cbab4cc-c2f5-46df-8f86-c6bf35945d4b,Aisha Roy,7,A,3,0
0e026fec-1c59-4755-af6c-9325c785eca5,0e026fec-1c59-4755-af6c-9325c785eca5,Ananya Roy,7,A,4,0
75020221-e9ce-43e0-a82e-cfd28b82fdd8,75020221-e9ce-43e0-a82e-cfd28b82fdd8,Arjun Roy,7,A,5,0
ffeb1752-d2c6-40b3-8b4c-a1ba1655e0e7,ffeb1752-d2c6-40b3-8b4c-a1ba1655e0e7,Diya Roy,7,A,6,0
c08a26ba-2d33-41d5-9d10-ab5e6325e82e,c08a26ba-2d33-41d5-9d10-ab5e6325e82e,Ishaan Roy,7,A,7,0
8db7c19c-6dc0-4696-9886-1c4125963a22,8db7c19c-6dc0-4696-9886-1c4125963a22,Kavya Roy,7,A,8,0
85ed6907-5ba4-41bb-b32a-fa48d49cce80,85ed6907-5ba4-41bb-b32a-fa48d49cce80,Mihir Roy,7,A,9,0
22740d29-9954-4e1f-b5c4-0eb4692cff25,22740d29-9954-4e1f-b5c4-0eb4692cff25,Nandini Roy,7,A,10,0
6a29771b-13fd-4690-85ed-d7ec3330478a,6a29771b-13fd-4690-85ed-d7ec3330478a,Rohan Roy,7,A,11,0
318070bc-0e06-41ac-99a7-5a0c155fa4b3,318070bc-0e06-41ac-99a7-5a0c155fa4b3,Saanvi Roy,7,A,12,0
00f6643d-81ec-41c7-a77e-21d86f64ddc6,00f6643d-81ec-41c7-a77e-21d86f64ddc6,Vivaan Roy,7,A,13,0
ece67a73-a838-4ead-b4f0-7f0c5a00ef11,ece67a73-a838-4ead-b4f0-7f0c5a00ef11,Anika Roy,7,A,14,0
dd2c32f5-822a-41ee-a83d-661f3b156e5c,dd2c32f5-822a-41ee-a83d-661f3b156e5c,Rahul Roy,7,A,15,0
a7f6d82f-5be8-4fea-a9e3-9fddd28dfd55,a7f6d82f-5be8-4fea-a9e3-9fddd28dfd55,Soham Roy,7,A,16,0
